#   T         E        M        C        S
1.000  -1.99714  0.99927  0.02355  0.00160 
1.254  -1.98453  0.99594  0.08406  0.00790 
1.508  -1.94935  0.98600  0.20305  0.02831 
1.762  -1.87423  0.96196  0.40332  0.09743 
2.016  -1.73447  0.90632  0.74548  0.38546 
2.269  -1.49243  0.77772  1.14951  1.20708 
2.524  -1.19576  0.58521  1.06361  1.74539 
2.778  -0.97240  0.43127  0.70650  1.45813 
3.032  -0.82649  0.33761  0.46044  1.02676 
3.286  -0.72776  0.28174  0.33074  0.74421 
3.540  -0.65442  0.24652  0.25382  0.55606 
