#   T         E        M        C        S        dE        dM        dC        dS
1.000  -1.99722  0.99930  0.02319  0.00146  0.000121  0.000030  0.006690  0.000907  
1.254  -1.98257  0.99555  0.09189  0.00783  0.000380  0.000099  0.013383  0.002340  
1.508  -1.95013  0.98623  0.19823  0.02728  0.000676  0.000220  0.015399  0.003849  
1.762  -1.87482  0.96173  0.39707  0.09048  0.001411  0.000643  0.020819  0.008229  
2.016  -1.73612  0.91197  0.64014  0.21085  0.002359  0.001052  0.025969  0.011377  
2.269  -1.55771  0.84032  0.80133  0.35744  0.004975  0.002340  0.040046  0.021052  
2.524  -1.35312  0.75290  0.80826  0.45995  0.003988  0.001978  0.023390  0.015046  
2.778  -1.14381  0.65857  0.71217  0.49761  0.003879  0.002105  0.018698  0.013959  
3.032  -0.99741  0.59213  0.58906  0.47454  0.003256  0.001680  0.011808  0.009770  
3.286  -0.88157  0.54119  0.47078  0.42551  0.002830  0.001512  0.008472  0.008189  
3.540  -0.74654  0.47415  0.35511  0.37083  0.002395  0.001425  0.005820  0.006452  
