#      O         NLL         <E>      <|M|>
6.607536   11.022574   -0.007702   0.191098   
6.592205   11.084202   -0.002238   0.202825   
6.543757   11.024436   0.009382   0.191143   
6.446014   10.928288   -0.049008   0.204987   
6.328765   10.802769   -0.064010   0.219530   
6.200131   10.675106   -0.045824   0.206076   
6.031868   10.509532   0.018290   0.216142   
5.874146   10.349310   0.018537   0.212304   
5.715742   10.192444   -0.014478   0.218672   
5.545044   10.024806   -0.034414   0.231183   
5.365672   9.845623   -0.048941   0.228452   
5.170222   9.642888   -0.076143   0.224064   
4.964003   9.440350   -0.084616   0.245914   
4.748460   9.229628   -0.036461   0.238741   
4.520974   9.000286   -0.063001   0.260643   
4.286317   8.781508   -0.074599   0.243593   
4.053021   8.546142   -0.061744   0.240833   
3.820520   8.311546   -0.142590   0.287653   
3.587899   8.077042   -0.166141   0.295113   
3.367992   7.853400   -0.196895   0.298492   
3.160413   7.638009   -0.255625   0.346264   
2.969710   7.436364   -0.268884   0.346076   
2.779874   7.268413   -0.338096   0.383772   
2.616139   7.112050   -0.345676   0.393962   
2.458912   6.934589   -0.495802   0.450000   
2.312981   6.797421   -0.530152   0.467741   
2.184518   6.670093   -0.625891   0.524652   
2.071756   6.546751   -0.656528   0.528009   
1.963607   6.453423   -0.736083   0.573711   
1.867265   6.349706   -0.848508   0.612743   
1.783032   6.253974   -0.897149   0.631693   
1.708466   6.190050   -0.861444   0.610583   
1.643262   6.118670   -0.915862   0.648557   
1.576150   6.063930   -1.055523   0.696549   
1.514222   5.988761   -0.963155   0.663796   
1.458653   5.929083   -1.050575   0.694210   
1.405736   5.880424   -1.070939   0.705701   
1.425923   5.900226   -1.000173   0.682977   
1.338409   5.822502   -1.098764   0.719242   
1.288985   5.760826   -1.021100   0.696769   
1.241284   5.708884   -1.107638   0.718346   
1.258246   5.723273   -1.102796   0.722304   
1.196555   5.669850   -1.143146   0.730951   
1.172225   5.641472   -1.199399   0.754124   
1.109460   5.571925   -1.162727   0.753241   
1.091522   5.565781   -1.194396   0.757700   
1.064549   5.535046   -1.193829   0.754762   
1.041107   5.499445   -1.182144   0.754359   
1.034954   5.508162   -1.217441   0.762688   
1.176347   5.644980   -1.240773   0.770278   
1.268632   5.732297   -1.212511   0.770890   
0.969446   5.435806   -1.195017   0.758141   
1.184867   5.644898   -1.240851   0.776454   
0.922563   5.390341   -1.189651   0.760356   
0.903210   5.369099   -1.266350   0.787681   
0.891912   5.361122   -1.195718   0.763899   
0.891561   5.347899   -1.233654   0.776114   
0.968233   5.433188   -1.239891   0.776094   
0.921718   5.389380   -1.223534   0.764431   
0.847244   5.289245   -1.277375   0.786874   
0.912662   5.367961   -1.273819   0.786281   
0.893328   5.350480   -1.303617   0.795000   
