# B               E         <|Sz|>           <Sx>
0.2   -1.0100252559   0.9949102307   0.1005077532
0.4   -1.0404188915   0.9784250944   0.2043066057
0.6   -1.0923314569   0.9448905335   0.3172390275
0.8   -1.1690935720   0.8700405692   0.4575919855
1.0   -1.2784906443   0.7072209347   0.6392453221
1.2   -1.4217750524   0.5395776505   0.7799802956
1.4   -1.5858513686   0.4460463504   0.8527316666
1.6   -1.7607270577   0.3964058600   0.8925366747
1.8   -1.9418842876   0.3668395933   0.9172957128
2.0   -2.1271208819   0.3473126530   0.9340756568
