#      O        NLL     <|Sz|>       <Sx>
0.756479   5.489333   0.426732   0.909848   
0.816996   5.425358   0.680483   0.687090   
0.863632   5.063204   0.661207   0.710366   
0.884954   4.922207   0.606894   0.779317   
0.770753   5.869119   0.799751   0.577444   
0.923648   4.800564   0.733208   0.621232   
0.876935   5.020420   0.671040   0.690590   
0.872606   5.031637   0.780034   0.529711   
0.844597   5.259745   0.714566   0.602138   
0.908195   4.852868   0.739954   0.597971   
0.835968   5.182147   0.846798   0.477173   
0.847475   5.296506   0.621040   0.724986   
0.846300   5.262608   0.698388   0.651112   
0.800621   5.704328   0.677235   0.691473   
0.911313   4.877530   0.666377   0.710236   
0.939998   4.744058   0.748205   0.554885   
0.946856   4.693950   0.817622   0.506054   
0.939685   4.719817   0.612202   0.727566   
0.944554   4.713216   0.714664   0.620116   
0.940495   4.740573   0.673008   0.660191   
0.796696   5.569034   0.702811   0.648883   
0.929549   4.732780   0.599719   0.713591   
0.953012   4.651698   0.671204   0.662898   
0.952559   4.660979   0.725610   0.605970   
0.930851   4.754498   0.724315   0.579306   
0.910501   4.871686   0.658082   0.651192   
0.923199   4.756850   0.663368   0.646933   
0.836784   5.339627   0.619043   0.717102   
0.883823   4.994843   0.575101   0.759467   
0.942876   4.729357   0.662176   0.679933   
0.905297   4.909213   0.718365   0.632243   
0.876690   5.064933   0.688215   0.645162   
0.921325   4.798484   0.581783   0.734948   
0.854706   5.211191   0.642204   0.692318   
0.833062   5.358561   0.777736   0.574614   
0.765720   5.681469   0.842287   0.499192   
0.932044   4.768009   0.817270   0.516750   
0.944928   4.711106   0.764287   0.596447   
0.901698   4.869173   0.546059   0.740280   
0.901331   4.949266   0.646153   0.718383   
0.850884   5.231905   0.786598   0.579609   
0.879623   5.060318   0.625341   0.725464   
0.856559   5.089734   0.837862   0.482998   
0.892229   4.889480   0.627920   0.712647   
0.902415   4.872064   0.695542   0.643368   
0.915193   4.820383   0.710170   0.619542   
0.940838   4.707477   0.641890   0.656596   
0.946470   4.685068   0.734874   0.590910   
0.878910   4.987884   0.771634   0.516881   
0.915270   4.843535   0.653634   0.617810   
0.964651   4.605636   0.702176   0.671745   
0.960462   4.631456   0.710957   0.618765   
0.913920   4.891895   0.692132   0.642479   
0.923542   4.840171   0.729264   0.616488   
0.853499   5.256595   0.690789   0.699924   
0.941044   4.732592   0.707109   0.632019   
0.973951   4.576024   0.739529   0.599459   
0.932067   4.762386   0.739110   0.603177   
0.858244   5.248288   0.645474   0.710997   
0.856448   5.208077   0.698568   0.631551   
0.909449   4.850087   0.711000   0.628293   
0.923894   4.750163   0.676544   0.646307   
0.822385   5.380363   0.783149   0.565518   
0.912055   4.857884   0.677121   0.686016   
0.964108   4.620319   0.755705   0.588883   
0.758589   5.851107   0.830472   0.509100   
0.956018   4.656296   0.714072   0.643859   
0.852201   5.151821   0.758601   0.583273   
0.941238   4.696924   0.739034   0.612826   
0.937982   4.758855   0.724967   0.634669   
0.943671   4.719226   0.628829   0.721278   
0.961507   4.655373   0.777584   0.590592   
0.908954   4.877440   0.714709   0.633451   
0.935771   4.719365   0.647942   0.685753   
0.857353   5.121067   0.725454   0.627013   
0.937059   4.735831   0.703237   0.631469   
0.929338   4.768152   0.604061   0.713322   
0.893928   4.917283   0.646498   0.678286   
0.922800   4.747944   0.650945   0.715524   
0.922794   4.803434   0.606565   0.663146   
0.859194   5.193877   0.655841   0.680856   
0.925992   4.827699   0.633010   0.668996   
0.969741   4.592270   0.683862   0.670501   
0.962182   4.636435   0.782287   0.564631   
0.961975   4.660846   0.780335   0.596314   
0.859052   5.137849   0.738777   0.617542   
0.941837   4.713467   0.615105   0.738130   
0.957061   4.649971   0.672565   0.668223   
0.962022   4.635148   0.731621   0.588823   
0.917896   4.878329   0.689886   0.631420   
0.901499   4.962463   0.604670   0.710757   
0.868008   5.147000   0.647653   0.678268   
0.971727   4.610816   0.694479   0.656410   
0.854628   5.131544   0.651966   0.667350   
0.935869   4.695481   0.584707   0.737172   
0.960653   4.646883   0.689263   0.625482   
0.939315   4.712373   0.684840   0.668850   
0.925673   4.773636   0.755057   0.541326   
0.920631   4.782532   0.700924   0.652874   
0.738100   5.949787   0.846325   0.476982   
0.964211   4.636285   0.701009   0.654969   
0.969755   4.611195   0.700582   0.658811   
0.929657   4.741095   0.763862   0.567305   
0.842963   5.220592   0.723900   0.596040   
0.949283   4.679006   0.707340   0.637665   
0.865436   5.205319   0.527269   0.773818   
0.964342   4.627975   0.674441   0.658280   
0.877099   5.016030   0.758491   0.590972   
0.848154   5.309266   0.623064   0.716247   
0.954607   4.680550   0.678842   0.657799   
0.969431   4.601502   0.660075   0.675191   
0.885252   5.000983   0.730366   0.598297   
0.895941   4.934062   0.764231   0.591887   
0.949558   4.664362   0.690609   0.647692   
0.841060   5.350542   0.588592   0.715354   
0.928218   4.822432   0.682011   0.671135   
0.864281   5.182529   0.609133   0.738854   
0.955455   4.674266   0.755887   0.562250   
0.904194   4.831264   0.689502   0.661666   
0.934053   4.753073   0.785023   0.543813   
0.952471   4.660979   0.718620   0.620734   
0.960597   4.632785   0.767416   0.575422   
0.949861   4.692197   0.815277   0.527194   
0.947057   4.674660   0.607036   0.747246   
0.801884   5.638293   0.707380   0.626785   
0.956309   4.662120   0.652084   0.682545   
0.789065   5.602205   0.833254   0.498941   
0.949905   4.714557   0.694436   0.652100   
0.948342   4.730751   0.631336   0.690074   
0.952343   4.696940   0.788287   0.571347   
0.968159   4.607096   0.673963   0.673491   
0.810500   5.601247   0.642833   0.651256   
0.965679   4.634853   0.722262   0.611440   
0.963859   4.657342   0.746313   0.598494   
0.965060   4.631750   0.744130   0.596223   
0.947496   4.694901   0.721860   0.646806   
0.833498   5.296115   0.769673   0.577404   
0.957144   4.675403   0.739259   0.625147   
0.937486   4.723775   0.811393   0.523681   
0.904326   4.897646   0.753638   0.593858   
0.925213   4.785480   0.710048   0.626471   
0.889191   4.958394   0.785165   0.545711   
0.955827   4.647312   0.720077   0.627483   
0.960606   4.647502   0.756716   0.615391   
0.938297   4.791678   0.675182   0.664028   
0.888159   4.898004   0.583616   0.619548   
0.765012   6.021913   0.634146   0.671377   
0.896408   4.984630   0.724795   0.581474   
0.917332   4.845631   0.705171   0.611055   
0.932833   4.728554   0.619601   0.725269   
0.935554   4.715676   0.575586   0.772850   
0.948448   4.685327   0.792285   0.546869   
0.879910   4.987392   0.751815   0.571073   
0.930217   4.768959   0.512799   0.803031   
0.970471   4.600111   0.679978   0.686525   
0.903477   4.874662   0.682480   0.642108   
0.903613   4.960232   0.696381   0.641315   
0.869270   5.187568   0.595050   0.747476   
0.944815   4.724644   0.580936   0.725797   
0.949643   4.707783   0.598321   0.740277   
0.813809   5.499516   0.767552   0.565576   
0.956822   4.650561   0.719806   0.605632   
0.915012   4.872176   0.706363   0.604387   
0.968994   4.594914   0.739174   0.610667   
0.973599   4.585871   0.725285   0.619171   
0.965253   4.629986   0.725819   0.636459   
0.881934   5.095126   0.656681   0.698926   
0.949306   4.661828   0.644210   0.683257   
0.951368   4.686731   0.642372   0.676677   
0.924080   4.841721   0.670644   0.658410   
0.927942   4.828879   0.638288   0.676524   
0.897808   4.911796   0.544569   0.758317   
0.740016   6.313334   0.699437   0.653751   
0.889481   4.950405   0.772873   0.553076   
0.853195   5.139786   0.724450   0.629180   
0.962205   4.638196   0.769645   0.596037   
0.947432   4.694777   0.622742   0.702642   
0.945088   4.730299   0.680494   0.660235   
0.882540   4.972122   0.662975   0.646648   
0.950642   4.699852   0.629326   0.689569   
0.954331   4.674200   0.598790   0.721313   
0.886087   4.923216   0.695123   0.635615   
0.928092   4.790544   0.641521   0.703668   
0.869329   5.031235   0.722592   0.591353   
0.873044   5.142643   0.670751   0.694794   
0.918978   4.862101   0.609078   0.729367   
0.970364   4.614169   0.618042   0.697886   
0.971417   4.595866   0.756437   0.604739   
0.927464   4.823981   0.648601   0.692554   
0.948591   4.686448   0.753671   0.571631   
0.877507   5.085486   0.708540   0.625769   
0.916272   4.848920   0.663259   0.640828   
0.960765   4.629045   0.695952   0.632785   
0.923318   4.847282   0.662143   0.672027   
0.885375   5.037974   0.685635   0.629450   
0.932849   4.761419   0.714824   0.604176   
0.899458   4.872138   0.750030   0.610526   
0.935424   4.737682   0.577499   0.778402   
0.877122   5.110649   0.586883   0.751842   
0.900394   4.957915   0.629085   0.727449   
0.969381   4.615174   0.744880   0.635724   
0.961179   4.644623   0.677631   0.675733   
0.956706   4.624340   0.716349   0.637865   
0.860453   5.126724   0.707912   0.644645   
0.923986   4.777226   0.758190   0.597269   
0.940686   4.762447   0.644971   0.695268   
0.888248   5.039586   0.674949   0.692116   
0.962601   4.652306   0.652107   0.681431   
0.797579   5.631755   0.707240   0.621931   
